Month,Day,Hour,DayOfWeek,Holiday,Power,Temperature, 
1,9,13,1,0,85.8667,25.165, 
1,9,14,1,0,86.8015,26.1, 
1,9,15,1,0,85.5798,26.235, 
1,9,16,1,0,86.4154,27.15, 
1,9,17,1,0,92.1966,28, 
1,9,18,1,0,90.4494,28.1286, 
1,9,19,1,0,87.3686,27.3304, 
1,9,20,1,0,84.8421,27.21, 
1,9,21,1,0,79.8267,28.64, 
1,9,22,1,0,73.1407,29.55, 
1,9,23,1,0,67.4066,26.7, 
1,9,24,1,0,63.4178,24.4545, 
1,10,1,2,0,59.4075,23, 
1,10,2,2,0,59.2637,21.6, 
1,10,3,2,0,59.1991,19.765, 
1,10,4,2,0,58.7307,19.9, 
1,10,5,2,0,61.8148,25.165, 
1,10,6,2,0,67.1094,25.335, 
1,10,7,2,0,83.0843,21.03, 
1,10,8,2,0,83.565,22.52, 
1,10,9,2,0,84.6152,30.6, 
1,10,10,2,0,76.8306,34.3, 
1,10,11,2,0,82.2501,36.285, 
1,10,12,2,0,79.8876,38.365, 
1,10,13,2,0,78.5022,41, 
1,10,14,2,0,78.9111,41, 
1,10,15,2,0,77.1359,40.7, 
1,10,16,2,0,78.3158,38.835, 
1,10,17,2,0,85.5038,36.85, 
1,10,18,2,0,83.5141,31.065, 
1,10,19,2,0,80.7061,32.27, 
1,10,20,2,0,78.3767,33.53, 
1,10,21,2,0,73.5732,32, 
1,10,22,2,0,67.532,31.7, 
1,10,23,2,0,61.4798,30, 
1,10,24,2,0,57.0465,30, 
1,11,1,3,0,53.9877,30.3, 
1,11,2,3,0,53.3223,31.835, 
1,11,3,3,0,53.1123,30.6, 
1,11,4,3,0,52.6125,29.065, 
1,11,5,3,0,55.3625,30.3, 
1,11,6,3,0,60.7812,32.3, 
1,11,7,3,0,76.0962,34, 
1,11,8,3,0,81.244,34.165, 
1,11,9,3,0,78.3665,35.385, 
1,11,10,3,0,79.455,37.3, 
1,11,11,3,0,80.2181,39.135, 
1,11,12,3,0,77.1423,40.335, 
1,11,13,3,0,75.2147,42.8, 
1,11,14,3,0,78.0914,42.4, 
1,11,15,3,0,77.4082,44.5811, 
1,11,16,3,0,79.3887,43.8563, 
1,11,17,3,0,85.716,42.2212, 
1,11,18,3,0,81.6649,41.935, 
1,11,19,3,0,78.0406,41.0545, 
1,11,20,3,0,75.5801,41.4812, 
1,11,21,3,0,71.7288,39.305, 
1,11,22,3,0,64.9259,40.065, 
1,11,23,3,0,57.4322,42.35, 
1,11,24,3,0,53.3473,42.8, 
1,12,1,4,0,52.0958,41, 
1,12,2,4,0,51.934,43, 
1,12,3,4,0,52.3947,42.8, 
1,12,4,4,0,53.0354,44.9294, 
1,12,5,4,0,55.9342,44.1, 
1,12,6,4,0,62.028,43.935, 
1,12,7,4,0,78.4582,43, 
1,12,8,4,0,84.3538,43.165, 
1,12,9,4,0,84.6583,44.52, 
1,12,10,4,0,84.5891,47.065, 
1,12,11,4,0,86.2619,48.3, 
1,12,12,4,0,83.7603,50, 
1,12,13,4,0,81.6975,50, 
1,12,14,4,0,82.5413,50, 
1,12,15,4,0,81.6262,49.7, 
1,12,16,4,0,81.6636,47.55, 
1,12,17,4,0,86.3912,44.7, 
1,12,18,4,0,84.3187,42.865, 
1,12,19,4,0,82.5269,41.47, 
1,12,20,4,0,79.3449,38.065, 
1,12,21,4,0,75.5587,38.25, 
1,12,22,4,0,71.0631,34, 
1,12,23,4,0,63.0799,33.7, 
1,12,24,4,0,58.7153,31.535, 
1,13,1,5,0,55.7135,28.9, 
1,13,2,5,0,55.1422,29.065, 
1,13,3,5,0,54.7085,29.7, 
1,13,4,5,0,54.0108,27.85, 
1,13,5,5,0,55.0007,26.865, 
1,13,6,5,0,60.2871,26.445, 
1,13,7,5,0,74.8324,28.19, 
1,13,8,5,0,80.1598,27.915, 
1,13,9,5,0,80.4117,33.7618, 
1,13,10,5,0,79.4748,37.6, 
1,13,11,5,0,80.4597,41.75, 
1,13,12,5,0,78.2293,45.85, 
1,13,13,5,0,74.8627,45.15, 
1,13,14,5,0,76.4097,46, 
1,13,15,5,0,74.6568,45.715, 
1,13,16,5,0,74.5177,43.935, 
1,13,17,5,0,81.1439,42.865, 
1,13,18,5,0,81.0752,43, 
1,13,19,5,0,78.9472,44.8759, 
1,13,20,5,0,76.2253,46.08, 
1,13,21,5,0,72.9057,44.6, 
1,13,22,5,0,68.1798,44.82, 
1,13,23,5,0,63.1307,44.375, 
1,13,24,5,0,59.2793,44.2552, 
1,14,1,6,0,55.0177,44.35, 
1,14,2,6,0,54.1706,43.165, 
1,14,3,6,0,54.4027,43.935, 
1,14,4,6,0,54.3638,43.8, 
1,14,5,6,0,54.8724,46.8211, 
1,14,6,6,0,56.6498,46.4, 
1,14,7,6,0,60.3953,48.725, 
1,14,8,6,0,65.3871,49.065, 
1,14,9,6,0,69.2084,50, 
1,14,10,6,0,72.3889,50.81, 
1,14,11,6,0,74.2817,51.1, 
1,14,12,6,0,74.42,50.9232, 
1,14,13,6,0,72.941,50.0415, 
1,14,14,6,0,70.3271,50, 
1,14,15,6,0,70.2524,51.7654, 
1,14,16,6,0,71.3055,50, 
1,14,17,6,0,76.2859,50, 
1,14,18,6,0,77.5413,50, 
1,14,19,6,0,74.6642,50, 
1,14,20,6,0,71.5581,48.04, 
1,14,21,6,0,69.0581,46.7816, 
1,14,22,6,0,64.6976,44.6, 
1,14,23,6,0,60.6906,44.2667, 
1,14,24,6,0,58.076,40.535, 
1,15,1,7,0,55.599,37.315, 
1,15,2,7,0,54.0369,33.7, 
1,15,3,7,0,53.8255,30.7538, 
1,15,4,7,0,53.8767,29.9231, 
1,15,5,7,0,54.5742,28.65, 
1,15,6,7,0,56.5515,28.1158, 
1,15,7,7,0,60.0375,25.775, 
1,15,8,7,0,65.0091,24.2086, 
1,15,9,7,0,70.1937,23.77, 
1,15,10,7,0,74.2838,21.9, 
1,15,11,7,0,76.5907,21.9, 
1,15,12,7,0,78.699,21.765, 
1,15,13,7,0,78.2848,20.55, 
1,15,14,7,0,76.5338,17.865, 
